IL_CODE11,IL_NAME11,IA_CODE11,IA_NAME11,IR_CODE11,IR_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM,Indigenousno,Nonindigenousno
10100701,Coonabarabran,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,11.01825,329,"6,553"
10100702,Coonabarabran - Surrounds,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,"10,462.86487",329,"6,553"
10100801,Wellington,101008,Wellington,101,Dubbo,1,New South Wales,9.33027,289,"3,032"
10100801,Wellington,101008,Wellington,101,Dubbo,1,New South Wales,9.33027,437,"37,935"
10100801,Wellington,101008,Wellington,101,Dubbo,1,New South Wales,9.33027,947,"3,463"
10100802,Wellington - Surrounds,101008,Wellington,101,Dubbo,1,New South Wales,"4,102.74522",289,"3,032"
10100802,Wellington - Surrounds,101008,Wellington,101,Dubbo,1,New South Wales,"4,102.74522",437,"37,935"
10100802,Wellington - Surrounds,101008,Wellington,101,Dubbo,1,New South Wales,"4,102.74522",947,"3,463"
60101101,Latrobe - Hawley Beach,601011,West Tamar - Latrobe,601,Tasmania,6,Tasmania,578.29956,307,"19,550"
60101102,West Tamar,601011,West Tamar - Latrobe,601,Tasmania,6,Tasmania,695.75099,307,"19,550"
20101801,Box Hill,201018,Whitehorse,201,Melbourne,2,Victoria,21.5879,295,"138,998"
20101802,Nunawading - East,201018,Whitehorse,201,Melbourne,2,Victoria,21.51182,295,"138,998"
20101803,Nunawading - West,201018,Whitehorse,201,Melbourne,2,Victoria,21.17476,295,"138,998"
40200601,Whyalla,402006,Whyalla,402,Port Augusta,4,South Australia,"21,225.01226",775,"19,776"
70201501,Willowra,702015,Willowra,702,Apatula,7,Northern Territory,13.74505,250,17
50300701,Wiluna,503007,Wiluna,503,Kalgoorlie,5,Western Australia,"181,294.37207",255,366
20201901,Alpine - Towong - Indigo,202019,Wodonga,202,Victoria exc. Melbourne,2,Victoria,"13,547.86769",455,"31,566"
20201902,Wangaratta,202019,Wodonga,202,Victoria exc. Melbourne,2,Victoria,"3,644.83616",455,"31,566"
20201903,Wodonga,202019,Wodonga,202,Victoria exc. Melbourne,2,Victoria,432.6887,455,"31,566"
10702901,Wollondilly,107029,Wollondilly,107,Sydney - Wollongong,1,New South Wales,"3,391.40075",759,"37,669"
10703001,Wollongong,107030,Wollongong,107,Sydney - Wollongong,1,New South Wales,403.70477,"3,124","171,863"
10703101,Waverley,107031,Woollahra - Waverley,107,Sydney - Wollongong,1,New South Wales,9.24296,98,"43,804"
10703102,Woollahra,107031,Woollahra - Waverley,107,Sydney - Wollongong,1,New South Wales,12.27401,98,"43,804"
30201001,Cape Tribulation - China Camp - Zig Zag,302010,Wujal Wujal and Outstations,302,Cairns - Atherton,3,Queensland,"1,802.06772",309,14
30201002,Wujal Wujal,302010,Wujal Wujal and Outstations,302,Cairns - Atherton,3,Queensland,0.43883,309,14
70700601,Canteen Creek,707006,Wutunugurra - Canteen Creek,707,Tennant Creek,7,Northern Territory,1.19991,194,3
70700602,Wutunugurra,707006,Wutunugurra - Canteen Creek,707,Tennant Creek,7,Northern Territory,0.99764,194,3
50400801,Wyndham,504008,Wyndham,504,Kununurra,5,Western Australia,2.20702,308,238
50400801,Wyndham,504008,Wyndham,504,Kununurra,5,Western Australia,2.20702,709,"105,842"
20101901,Altona,201019,Wyndham - Altona,201,Melbourne,2,Victoria,62.21615,308,238
20101901,Altona,201019,Wyndham - Altona,201,Melbourne,2,Victoria,62.21615,709,"105,842"
20101902,Tarneit - Hoppers Crossing,201019,Wyndham - Altona,201,Melbourne,2,Victoria,129.4757,308,238
20101902,Tarneit - Hoppers Crossing,201019,Wyndham - Altona,201,Melbourne,2,Victoria,129.4757,709,"105,842"
20101903,Werribee - Whyndam Vale,201019,Wyndham - Altona,201,Melbourne,2,Victoria,414.64293,308,238
20101903,Werribee - Whyndam Vale,201019,Wyndham - Altona,201,Melbourne,2,Victoria,414.64293,709,"105,842"
10402101,Wyong - North-East,104021,Wyong,104,NSW Central and North Coast,1,New South Wales,181.26681,"3,806","129,518"
10402102,Wyong - South-West,104021,Wyong,104,NSW Central and North Coast,1,New South Wales,558.53362,"3,806","129,518"
20102001,Yarra Ranges,201020,Yarra Ranges,201,Melbourne,2,Victoria,"2,459.11538",249,"62,224"
20102001,Yarra Ranges,201020,Yarra Ranges,201,Melbourne,2,Victoria,"2,459.11538",848,"133,284"
30201101,Yarrabah,302011,Yarrabah,302,Cairns - Atherton,3,Queensland,158.84343,249,"62,224"
30201101,Yarrabah,302011,Yarrabah,302,Cairns - Atherton,3,Queensland,158.84343,"2,296",53
70600801,Yirrkala,706008,Yirrkala,706,Nhulunbuy,7,Northern Territory,8.85617,576,110
40102301,Copper Coast - Barunga West,401023,Yorke Peninsula,401,Adelaide,4,South Australia,"2,465.45402",267,29
40102302,Point Pearce,401023,Yorke Peninsula,401,Adelaide,4,South Australia,535.64838,267,29
40102303,Yorke Peninsula,401023,Yorke Peninsula,401,Adelaide,4,South Australia,"5,392.46422",267,29
10502201,Young,105022,Young,105,Riverina - Orange,1,New South Wales,"2,643.86769",305,"11,285"
70201701,Yuendumu and Outstations,702017,Yuendumu and Outstations,702,Apatula,7,Northern Territory,"22,120.94954",605,83
